unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
74,CA1_pyr,CA1,pyramidal,22,420.0,31.01859355282432,55.8263647486122,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
75,CA1_pyr,CA1,pyramidal,16,300.0,24.15242502574373,57.72941688089247,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
76,CA1_pyr,CA1,pyramidal,27,520.0,-0.0732452019721611,5.6861543271487776,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
77,CA1_pyr,CA1,pyramidal,14,260.0,16.299773406864652,66.53443673690307,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
78,CA1_pyr,CA1,pyramidal,12,220.0,16.556251938473583,83.11920042512139,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
79,CA1_pyr,CA1,pyramidal,2,20.0,94.92715926213542,71.59978113044349,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
80,CA2_pyr,CA2,pyramidal,35,680.0,,,0.0,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
81,CA2_pyr,CA2,pyramidal,37,720.0,,,0.1570796326794896,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
82,CA2_pyr,CA2,pyramidal,38,740.0,,,0.3141592653589793,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
83,CA2_pyr,CA2,pyramidal,39,760.0,,,0.4712388980384689,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
84,CA2_pyr,CA2,pyramidal,33,640.0,,,0.6283185307179586,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
85,CA2_pyr,CA2,pyramidal,36,700.0,,,0.7853981633974483,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
86,CA2_pyr,CA2,pyramidal,39,760.0,,,0.942477796076938,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
87,CA2_pyr,CA2,pyramidal,33,640.0,,,1.0995574287564276,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
88,CA2_pyr,CA2,pyramidal,34,660.0,,,1.2566370614359172,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
89,CA2_pyr,CA2,pyramidal,39,760.0,,,1.413716694115407,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
90,CA2_pyr,CA2,pyramidal,36,700.0,,,1.5707963267948966,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
91,CA2_pyr,CA2,pyramidal,36,700.0,,,1.7278759594743862,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
92,CA2_pyr,CA2,pyramidal,37,720.0,,,1.884955592153876,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
93,CA2_pyr,CA2,pyramidal,36,700.0,,,2.042035224833365,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
94,CA2_pyr,CA2,pyramidal,40,780.0,,,2.199114857512855,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
95,CA2_pyr,CA2,pyramidal,38,740.0,,,2.356194490192345,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
96,CA2_pyr,CA2,pyramidal,31,600.0,,,2.5132741228718345,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
97,CA2_pyr,CA2,pyramidal,32,620.0,,,2.670353755551324,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
98,CA2_pyr,CA2,pyramidal,36,700.0,,,2.827433388230814,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
99,CA2_pyr,CA2,pyramidal,39,760.0,,,2.9845130209103035,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
100,CA2_pyr,CA2,pyramidal,31,600.0,,,3.141592653589793,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
101,CA2_pyr,CA2,pyramidal,37,720.0,,,3.2986722862692828,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
102,CA2_pyr,CA2,pyramidal,38,740.0,,,3.4557519189487724,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
103,CA2_pyr,CA2,pyramidal,38,740.0,,,3.612831551628262,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
104,CA2_pyr,CA2,pyramidal,39,760.0,,,3.769911184307752,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
105,CA2_pyr,CA2,pyramidal,32,620.0,,,3.9269908169872414,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
106,CA2_pyr,CA2,pyramidal,36,700.0,,,4.084070449666731,ratinabox_HeadDirectionCells,HeadDirectionCells,CA2,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
