spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,1.0,0.025,200,acceleration,random_forest_regressor,16772,7189,,,,,,-0.006457118145024587,0.06223686547853398,34.5305648540245,56.953616967820366,,,,,,,,,,
sorted,counts,1.0,0.025,200,head_direction,ridge,16772,7189,,,,,,,,,,23.944116570018203,20.488737645638782,49.62481765066684,,,,,,,
sorted,counts,1.0,0.025,200,head_direction,random_forest_regressor,16772,7189,,,,,,,,,,23.974590322794413,20.280374224720138,49.032902593318184,,,,,,,
sorted,counts,1.0,0.025,200,distance_to_wall,ridge,16772,7189,,,,,,0.7557955827514053,0.8715674279890785,,,,,,3.7316595524856613,4.871766340914896,,,,,
sorted,counts,1.0,0.025,200,distance_to_wall,random_forest_regressor,16772,7189,,,,,,0.7813231444029579,0.8861937788052782,,,,,,3.0141914292070258,4.610108036795127,,,,,
sorted,counts,1.0,0.025,200,spatial_context,logistic_regression,16772,7189,,,,,,,,,,,,,,,0.7905132841841702,0.7705678003789852,0.7790437506500189,"[[1012, 10, 312], [109, 3171, 420], [59, 596, 1500]]","['center', 'corner', 'wall']"
sorted,counts,1.0,0.025,200,spatial_context,random_forest_classifier,16772,7189,,,,,,,,,,,,,,,0.8611767978856586,0.8404471301691601,0.8508031425141783,"[[1133, 36, 165], [151, 3484, 65], [7, 574, 1574]]","['center', 'corner', 'wall']"
sorted,counts,1.0,0.025,200,movement_state,logistic_regression,16772,7189,,,,,,,,,,,,,,,0.5518152733342607,0.4597745780002014,0.4337275044384075,"[[1557, 1242, 236], [942, 2333, 585], [23, 194, 77]]","['fast', 'slow', 'still']"
sorted,counts,1.0,0.025,200,movement_state,random_forest_classifier,16772,7189,,,,,,,,,,,,,,,0.6404228682709695,0.44539853124030815,0.43494832007837275,"[[2037, 998, 0], [1293, 2567, 0], [24, 270, 0]]","['fast', 'slow', 'still']"
sorted,counts,1.0,0.025,200,wall_distance_bin,logistic_regression,16772,7189,,,,,,,,,,,,,,,0.8830157184587565,0.7944442031398552,0.7976769493322897,"[[273, 117, 0], [105, 1313, 376], [21, 222, 4762]]","['center', 'middle', 'near_wall']"
sorted,counts,1.0,0.025,200,wall_distance_bin,random_forest_classifier,16772,7189,,,,,,,,,,,,,,,0.8992905828348866,0.8079254079254078,0.8478817446866254,"[[284, 106, 0], [18, 1288, 488], [0, 112, 4893]]","['center', 'middle', 'near_wall']"
